REGISTRO AUTOMÁTICO DE PYTEST

Inicio UTC: 2026-09-26T15:22:12.778956+00:00
Python: 3.13.13 | pytest: 8.3.3
Argumentos: -q tests/test_api.py --basetemp=C:\Users\sanbo\Desktop\Cloud Computing\Tarea CC\CC_MDS_G7_FLT\.pytest_tmp_97f2d7f78a8b452fa213999d411630b3
Código de salida: 0
Resultado: CORRECTO
Resumen: 22 passed, 1 warnings
Duración registrada: 6.484 segundos

DETALLE POR FASE

tests/test_api.py::test_modelo_carga_una_vez | teardown | passed | 0.0002 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[ausente] | setup | passed | 0.0048 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[ausente] | call | passed | 0.0249 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[ausente] | teardown | passed | 0.0003 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[features] | setup | passed | 0.0029 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[features] | call | passed | 0.0168 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[features] | teardown | passed | 0.0003 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[sklearn] | setup | passed | 0.0029 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[sklearn] | call | passed | 0.0240 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[sklearn] | teardown | passed | 0.0002 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[hash] | setup | passed | 0.0018 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[hash] | call | passed | 0.0232 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[hash] | teardown | passed | 0.0002 s
tests/test_api.py::test_docs_y_contrato_lote | setup | passed | 0.0501 s
tests/test_api.py::test_docs_y_contrato_lote | call | passed | 0.0196 s
tests/test_api.py::test_docs_y_contrato_lote | teardown | passed | 0.0026 s

AVISOS
C:\Users\sanbo\Desktop\Cloud Computing\Tarea CC\CC_MDS_G7_FLT\.venv\Lib\site-packages\starlette\testclient.py:40: DeprecationWarning: The anyio.abc.BlockingPortal alias is deprecated, use anyio.from_thread.BlockingPortal instead.
  _PortalFactoryType = typing.Callable[[], typing.ContextManager[anyio.abc.BlockingPortal]]

